1,1,2,3,Climb to the roof.,Run to a lower level.,You are inside your apartment in Tolima City. A police investigation shows that you are the prime suspect in a quadruple homicide. You can see lots of police vehicles coming your way.,What do you choose to do?
1,2,41,4,Try to hide behind solar panels or roof tanks.,Use the ladder to get to the ground.,-,You made it to the roof. You can hear the police coming up from the stairs. What will you do?
1,3,5,42,Rush into the apartment next door and grab a person as a human shield.,Try to evade them and run between them to escape.,-,You find yourself in front of two policemen and their dogs. They won’t hesitate to kill. Your choice is?
1,4,43,6,Walk around to see if the police is onto you.,Try to rob someone to get money and car.,-,While you were climbing down you came across a laundry string and grabbed a hoodie. You wore the hoodie and now police don’t know to look for a person with your appearance. What do you do now?
1,5,7,44,Push the hostage to the police and get out from the window.,Try to attack the police and escape.,-,You maybe have the upper hand in this situation but it will not last for long. What is your next move?
1,6,45,47,You surrendered to the authorities.,Go back to your apartment to get some important staff of yours.,-,You are successful. Now you have a respectable amount of money and a car. Your lucky only took you so far. A stolen car report in the area you lived in points out your location to the police. You can see their cars closing in to you. What will you do?
1,7,9,46,Dump the car in a parking lot and buy new clothes from a nearby store.,Keep driving. If you get to the harbour you can escape on a fairy.,-,Luckily for you there are not many cars on the road. You might have a slight chance to escape. The police lost you but it will not last forever. What do you choose to do?
1,8,47,10,Go back to your apartment to get some important staff of yours.,Get a taxi to take you to a nearby city. You know a guy there who can take you out of the country.,-,This will take the police off your back for a little time. How do you choose to spend your time?
1,9,8,50,YES,NO,-,You changed your clothes. Is it time for a hair makeover as well?
1,10,48,12,To help you lay low and stay in his house for a few days.,You want him to make you a fake passport and ID in order to get out of the country.,-,You have entered Karnataka. You quickly use some of the money you stole to buy a burner phone. You contacted your contact and you set up a meeting later that day. As soon as the sun went down you met with your guy in his photography studio. What do you request from him?
1,11,13,49,You decided to hide in a small cave for the night.,Run away.,-,You have arrived to Karnataka. One of the boarder guards is onto you. What do you do?
1,12,14,13,Leave airport and try to leave with a fairy.,Try to hide and spend the night at the airport.,-,Your contact have your passport and ID ready in only a few hours. You pay him and buy a plane ticket with the rest of your money. You have arrived at the airport only to find out that your flight has been cancelled. You have no money left. Only a passport and an ID. What will you do?
1,13,49,49,Stay still he might not see me.,Try to move silently and get away.,-,You hear a nigh guard closing. You have to do something in order to not be caught. What do you do?
1,14,43,50,Go to Tristone Ville (a huge town with high security),Leave airport and try to leave with a fairy.,-,Remember you have no money left. You decided to sell your airport ticket in order to gain some money to buy a fairy ticket. You did it! But there is no ticket for Karnataka. Where do you want to go?
2,15,16,17,Abandoned House (inside the town),A spacious cave (half mile from the city),-,You have to choose a base of operation. Since you have no money you have to find a place where you don't need money to stay. You found two places which one do you want?
2,16,52,18,Tell them the real reason you came to their town- and threaten them in order not to rat you out.,Pretend you are a feeble week homeless guy. To seem less suspicious?,-,You found out that the house is pretty much empty. Some of your new neighbours came to meet you. What do you do?
2,17,19,53,Sneak up to him and assassinate him.,Let him go. He is just a shepherd.,-,It's not the most cozy place but it will do. You noticed a shepherd watching you from a distance. How do you choose to deal with this?
2,18,54,20,The town bank.,A mini market.,-,Bravo! You deceived them. No you can focus on what you have to do. Choose where to strike next.
2,19,57,55,Make it look supernatural- to keep the sheriff and the ME busy.,Make it look like an animal attack.,-,You killed him but you can not dump his body nearby. You have to eliminate any connection to you. You have to make it look like it wasn't a homicide. Your cause of choice?
2,20,56,22,Buy a used car.,Buy some supplies to help you survive until your next score.,-,You have successfully robbed the mini market. You earned £5000. Were do you want to spent that money?
2,21,23,59,Try to rob the people who visit the town.,Go rob the city hall.,-,You got the police busy. You have time to plan your next move. What would you do?
2,22,58,60,Buy a pistol.,Buy a shotgun.,-,Good job. You have enough food to survive for a few days until the investigation is over. You have to choose a weapon to continue.What do you choose?
2,23,25,61,Save them. You might need them in the near future.,Invest in cryptos.,-,Great job. You earned some money. What would you like to do with the money?
2,24,58,62,No. Buy a pistol.,Yes,-,Now you are presented with a rare opportunity. Do you want a career change from just a poor low life- to a world known first class thief?
2,25,62,61,Save them. You might need them in the near future.,No. Invest in cryptos.,-,Good choice. You heard some rumors that in a nearby town museum there will be an exhibition where the main attraction is a very old painting that can be sold for £3Million. Are you willing to play it all in?
2,26,27,28,Police station. Lets find out more about the security.,Mayors office. We can learn critical information about the event.,-,Where do you want to go first?
2,27,63,29,Stay longer.,I have what I need.,-,Great job. Have you learned anything or do you need to stay longer?
2,28,64,29,Stay longer.,I have what I came for.,-,Nice job. Have you learned anything or do you need to stay longer?
